fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13033,GA,Burke County,22648.0,28.2,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3079.0,0.14,0.62,143.0,4.0,125.0,4.0,146.0,4.0,123.0,4.0,105.0,3.0,95.0,3.0,140.0,4.0,105.0,3.0,0.8455,0.8159,0.7835,0.7227,0.6613,8.0,2.7
13035,GA,Butts County,25426.0,128.3,6.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,14301.0,0.56,0.47,83.0,3.0,109.0,3.0,84.0,3.0,90.0,3.0,91.0,3.0,46.0,2.0,137.0,4.0,124.0,4.0,0.7653,0.8201,0.3222,0.4868,0.8319,5.0,1.96
13037,GA,Calhoun County,6231.0,23.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,76.0,2.0,145.0,4.0,22.0,1.0,141.0,4.0,152.0,4.0,142.0,4.0,125.0,4.0,66.0,2.0,0.9774,0.9943,0.3674,0.8704,0.9834,4.0,2.37
13039,GA,Camden County,55388.0,82.4,14.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,29692.0,0.54,0.51,20.0,1.0,19.0,1.0,28.0,1.0,22.0,1.0,43.0,2.0,43.0,2.0,16.0,1.0,8.0,1.0,0.5159,0.415,0.4422,0.5425,0.6823,7.0,-2.46
13043,GA,Candler County,10985.0,45.3,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3800.0,0.35,0.36,148.0,4.0,130.0,4.0,143.0,4.0,146.0,4.0,119.0,3.0,156.0,4.0,102.0,3.0,106.0,3.0,0.9828,0.929,0.9736,0.7542,0.9408,10.0,4.38
13045,GA,Carroll County,121633.0,221.5,60.0,193.0,2.0,0.0,1.0,0.0,0.0,0.0,74414.0,0.61,0.99,55.0,2.0,63.0,2.0,66.0,2.0,42.0,2.0,58.0,2.0,75.0,2.0,59.0,2.0,96.0,3.0,0.7825,0.7869,0.5301,0.7256,0.6272,29.0,-0.34
13047,GA,Catoosa County,67996.0,394.3,32.0,62.0,1.0,0.0,1.0,0.0,0.0,0.0,22161.0,0.33,0.94,16.0,1.0,20.0,1.0,18.0,1.0,26.0,1.0,41.0,2.0,11.0,1.0,11.0,1.0,145.0,4.0,0.1318,0.3194,0.2098,0.3136,0.0678,14.0,-5.23
13049,GA,Charlton County,13430.0,15.7,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,89.0,3.0,110.0,3.0,83.0,3.0,98.0,3.0,124.0,4.0,146.0,4.0,73.0,2.0,51.0,2.0,0.8752,0.9764,0.1162,0.9086,0.7536,3.0,1.03
13051,GA,Chatham County,289463.0,621.7,264.0,1062.0,8.0,0.0,2.0,0.0,1.0,0.0,152745.0,0.53,1.82,40.0,1.0,35.0,1.0,42.0,2.0,36.0,1.0,28.0,1.0,19.0,1.0,69.0,2.0,48.0,2.0,0.6949,0.514,0.3645,0.836,0.8208,73.0,-3.19
13053,GA,Chattahoochee County,10551.0,45.3,8.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,36701.0,3.48,1.52,39.0,1.0,36.0,1.0,52.0,2.0,19.0,1.0,100.0,3.0,15.0,1.0,21.0,1.0,38.0,1.0,0.6379,0.6341,0.0952,0.6479,0.8889,1.0,3.93
13055,GA,Chattooga County,24843.0,83.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,131.0,4.0,155.0,4.0,148.0,4.0,94.0,3.0,155.0,4.0,136.0,4.0,146.0,4.0,122.0,4.0,0.9252,0.9417,0.4769,0.6313,0.9669,4.0,3.85
