fips,state_abbr,county_name,pop_est_2020,ed_visits,ed_visits_per_capita,ed_visits_high
13281,GA,Towns,12247,5648,0.46,False
13283,GA,Treutlen,6822,0,0.0,False
13285,GA,Troup,70214,58431,0.83,True
13287,GA,Turner,7882,0,0.0,False
13289,GA,Twiggs,8103,0,0.0,False
13291,GA,Union,25358,21555,0.85,True
13293,GA,Upson,26527,30098,1.13,True
13295,GA,Walker,70116,0,0.0,False
13297,GA,Walton,96875,21603,0.22,False
13299,GA,Ware,35826,40329,1.13,True
13301,GA,Warren,5232,0,0.0,False
13303,GA,Washington,20150,14654,0.73,False
13305,GA,Wayne,30023,12750,0.42,False
13307,GA,Webster,2595,0,0.0,False
13309,GA,Wheeler,7751,0,0.0,False
13311,GA,White,31094,0,0.0,False
13313,GA,Whitfield,103837,50008,0.48,False
13315,GA,Wilcox,8502,0,0.0,False
13317,GA,Wilkes,9694,2888,0.3,False
13319,GA,Wilkinson,8812,0,0.0,False
13321,GA,Worth,19972,3352,0.17,False
